SUBURB,incident_count,top_claim_type,top_claim_type_count,claim_type_breakdown,peak_month,peak_day_of_week,peak_hour,total_claim_cost,avg_claim_cost,anomalous_claims_excluded_from_cost,freq_normalized,cost_normalized,severity_score,saps_precinct_mapped,saps_precinct_name,saps_robbery_with_aggravating_circumstances_q1_2026,saps_robbery_with_aggravating_circumstances_trend,saps_burglary_at_residential_premises_q1_2026,saps_burglary_at_residential_premises_trend,saps_theft_of_motor_vehicle_and_motorcycle_q1_2026,saps_theft_of_motor_vehicle_and_motorcycle_trend,saps_carjacking_q1_2026,saps_carjacking_trend,saps_truck_hijacking_q1_2026,saps_truck_hijacking_trend,lat,lon
DOBSONVILLE,5,Theft,3,Theft:3; Hijack:1; Attempted Hijack:1,April,Sunday,23,1045748.27,209149.65,0,0.0,0.0970180604202556,0.0485,False,,,,,,,,,,,,-26.2238889,27.8666667
SUIDEROORD,10,Theft,10,Theft:10,September,Saturday,4,545032.83,54503.28,0,0.0476190476190476,0.0488710042327159,0.0482,False,,,,,,,,,,,,-26.2726206,28.0281057
WALKERVILLE,11,Theft,11,Theft:11,July,Friday,23,437000.76,39727.34,0,0.0571428571428571,0.0384830159087564,0.0478,False,,,,,,,,,,,,-26.4416667,27.9616667
ALLEN'S NEK,10,Theft,9,Theft:9; Armed Robbery:1,October,Sunday,7,530220.16,53022.02,0,0.0476190476190476,0.0474466693754215,0.0475,False,,,,,,,,,,,,-26.1172222,27.9194444
HOWICK,11,Theft,11,Theft:11,August,Saturday,23,430745.61,39158.69,0,0.0571428571428571,0.0378815424281075,0.0475,False,,,,,,,,,,,,-29.4836175,30.2242434
ALBEMARLE,5,Theft,5,Theft:5,June,Monday,13,1021675.63,204335.13,0,0.0,0.0947033190360826,0.0474,False,,,,,,,,,,,,-33.9031645,18.3992763
NEWCASTLE,10,Theft,10,Theft:10,March,Friday,7,515365.76,51536.58,0,0.0476190476190476,0.0460183219063837,0.0468,False,,,,,,,,,,,,-27.7544581,29.932561
EASTLEIGH,9,Theft,8,Theft:8; Hijack:1,March,Friday,13,604085.66,67120.63,0,0.0380952380952381,0.0545493190936342,0.0463,False,,,,,,,,,,,,-26.1327235,28.1401302
DISCOVERY,10,Theft,10,Theft:10,September,Wednesday,5,497862.39,49786.24,0,0.0476190476190476,0.0443352586901559,0.046,False,,,,,,,,,,,,-26.1605556,27.8925
MALANSHOF,9,Theft,9,Theft:9,September,Wednesday,11,593852.79,65983.64,0,0.0380952380952381,0.0535653618846258,0.0458,False,,,,,,,,,,,,-26.0927778,27.9775
MODELPARK,7,Theft,7,Theft:7,December,Tuesday,17,791938.8,113134.11,0,0.019047619047619,0.0726126240450169,0.0458,False,,,,,,,,,,,,-25.865,29.2463889
LINKSFIELD,6,Theft,5,Theft:5; Hijack:1,January,Wednesday,18,877020.44,146170.07,0,0.0095238095238095,0.0807937787975206,0.0452,False,,,,,,,,,,,,-26.1636111,28.1011111
ST JAMES,6,Theft,6,Theft:6,March,Wednesday,23,852477.85,142079.64,0,0.0095238095238095,0.0784338486549276,0.044,False,,,,,,,,,,,,-34.1190998,18.4567553
EERSTERUST,12,Theft,12,Theft:12,October,Sunday,9,253942.36,21161.86,0,0.0666666666666666,0.0208807564889129,0.0438,False,,,,,,,,,,,,-25.7027778,28.3161111
UITENHAGE,10,Theft,8,Theft:8; Hijack:1; Armed Robbery:1,December,Wednesday,1,450816.16,45081.62,0,0.0476190476190476,0.039811456749433,0.0437,False,,,,,,,,,,,,-33.7678979,25.3978174
CLAYVILLE,6,Theft,5,Theft:5; Hijack:1,May,Wednesday,13,828854.04,138142.34,0,0.0095238095238095,0.0761622652033892,0.0428,False,,,,,,,,,,,,-25.9547222,28.2225
GROSVENOR,9,Theft,9,Theft:9,December,Monday,13,531615.95,59068.44,0,0.0380952380952381,0.0475808836899552,0.0428,False,,,,,,,,,,,,-29.915,31.0069444
BOSTON,12,Theft,11,Theft:11; Burglary:1,August,Wednesday,20,233895.52,19491.29,0,0.0666666666666666,0.0189531220387696,0.0428,False,,,,,,,,,,,,-29.6827587,30.0257348
KANONKOP,11,Theft,11,Theft:11,October,Saturday,14,326705.26,29700.48,0,0.0571428571428571,0.0278773840238424,0.0425,False,,,,,,,,,,,,-33.8629301,18.9069296
EVERSDAL,11,Theft,11,Theft:11,September,Monday,18,319524.93,29047.72,0,0.0571428571428571,0.0271869484503855,0.0422,False,,,,,,,,,,,,-33.8616667,18.6486111
BENONI AH,9,Theft,9,Theft:9,March,Thursday,2,514902.91,57211.43,0,0.0380952380952381,0.0459738158592835,0.042,False,,,,,,,,,,,,-26.1930356,28.3082376
PORT ALFRED,7,Theft,6,Theft:6; Burglary:1,April,Friday,4,709092.86,101298.98,0,0.019047619047619,0.0646464464330592,0.0418,False,,,,,,,,,,,,-33.5981844,26.8914772
ORLANDO WEST,5,Theft,4,Theft:4; Hijack:1,December,Saturday,19,905087.72,181017.54,0,0.0,0.0834926308784379,0.0417,False,,,,,,,,,,,,-26.2205556,27.9147222
KRUGERSDORP WEST,7,Theft,7,Theft:7,November,Wednesday,9,704053.82,100579.12,0,0.019047619047619,0.0641619098627244,0.0416,False,,,,,,,,,,,,-26.0966667,27.7516667
