STATION,District,Province,total_q1_2026_incidents,top_crime_type,top_crime_count,top_crime_trend,crime_breakdown,saps_only_severity_score
Sharpeville,Sedibeng District,Gauteng,60,Robbery with aggravating circumstances,30,Increased,Robbery with aggravating circumstances:30; Burglary at residential premises:15; Theft of motor vehicle and motorcycle:7; Carjacking:8; Truck hijacking:0,0.0967
Ravensmead,City of Cape Town District,Western Cape,60,Burglary at residential premises,27,Increased,Robbery with aggravating circumstances:19; Burglary at residential premises:27; Theft of motor vehicle and motorcycle:12; Carjacking:1; Truck hijacking:1,0.0967
Sterkspruit,Joe Gqabi District,Eastern Cape,59,Burglary at residential premises,43,Decreased,Robbery with aggravating circumstances:16; Burglary at residential premises:43; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0948
Swartkops,Nelson Mandela District,Eastern Cape,59,Robbery with aggravating circumstances,32,Decreased,Robbery with aggravating circumstances:32; Burglary at residential premises:18; Theft of motor vehicle and motorcycle:2; Carjacking:3; Truck hijacking:4,0.0948
Bohlokong,Thabo Mofutsanyana District,Free State,59,Burglary at residential premises,52,Decreased,Robbery with aggravating circumstances:6; Burglary at residential premises:52; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0948
Kariega,Nelson Mandela District,Eastern Cape,58,Robbery with aggravating circumstances,29,Decreased,Robbery with aggravating circumstances:29; Burglary at residential premises:24; Theft of motor vehicle and motorcycle:3; Carjacking:1; Truck hijacking:1,0.0928
Dutywa,Amathole District,Eastern Cape,58,Burglary at residential premises,27,Decreased,Robbery with aggravating circumstances:25; Burglary at residential premises:27; Theft of motor vehicle and motorcycle:4; Carjacking:2; Truck hijacking:0,0.0928
Makhanda,Sarah Baartman District,Eastern Cape,58,Burglary at residential premises,43,Decreased,Robbery with aggravating circumstances:12; Burglary at residential premises:43; Theft of motor vehicle and motorcycle:3; Carjacking:0; Truck hijacking:0,0.0928
Motetema,Sekhukhune District,Limpopo,58,Burglary at residential premises,50,Increased,Robbery with aggravating circumstances:7; Burglary at residential premises:50; Theft of motor vehicle and motorcycle:0; Carjacking:1; Truck hijacking:0,0.0928
Tsolo,OR Tambo District,Eastern Cape,58,Burglary at residential premises,27,Increased,Robbery with aggravating circumstances:26; Burglary at residential premises:27; Theft of motor vehicle and motorcycle:0; Carjacking:4; Truck hijacking:1,0.0928
Welbekend,Tshwane District,Gauteng,57,Burglary at residential premises,34,Increased,Robbery with aggravating circumstances:17; Burglary at residential premises:34; Theft of motor vehicle and motorcycle:3; Carjacking:1; Truck hijacking:2,0.0909
Ulundi,Zululand District,KwaZulu-Natal,57,Burglary at residential premises,36,Decreased,Robbery with aggravating circumstances:20; Burglary at residential premises:36; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0909
Alice,Amathole District,Eastern Cape,57,Burglary at residential premises,43,Decreased,Robbery with aggravating circumstances:13; Burglary at residential premises:43; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0909
Kanyamazane,Ehlanzeni District,Mpumalanga,57,Burglary at residential premises,25,Decreased,Robbery with aggravating circumstances:18; Burglary at residential premises:25; Theft of motor vehicle and motorcycle:11; Carjacking:3; Truck hijacking:0,0.0909
Katlehong North,Ekurhuleni District,Gauteng,57,Robbery with aggravating circumstances,26,Decreased,Robbery with aggravating circumstances:26; Burglary at residential premises:19; Theft of motor vehicle and motorcycle:7; Carjacking:5; Truck hijacking:0,0.0909
Beaufort West,Central Karoo District,Western Cape,57,Burglary at residential premises,43,Decreased,Robbery with aggravating circumstances:13; Burglary at residential premises:43; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0909
Nxuba,Chris Hani District,Eastern Cape,57,Burglary at residential premises,49,Decreased,Robbery with aggravating circumstances:6; Burglary at residential premises:49; Theft of motor vehicle and motorcycle:2; Carjacking:0; Truck hijacking:0,0.0909
Tonga,Ehlanzeni District,Mpumalanga,56,Burglary at residential premises,28,Increased,Robbery with aggravating circumstances:26; Burglary at residential premises:28; Theft of motor vehicle and motorcycle:1; Carjacking:1; Truck hijacking:0,0.089
Ipelegeng,Dr Ruth Segomotsi Mompati District,North West,56,Burglary at residential premises,38,Increased,Robbery with aggravating circumstances:18; Burglary at residential premises:38; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.089
Nebo,Sekhukhune District,Limpopo,56,Burglary at residential premises,42,Decreased,Robbery with aggravating circumstances:12; Burglary at residential premises:42; Theft of motor vehicle and motorcycle:1; Carjacking:1; Truck hijacking:0,0.089
Qumbu,OR Tambo District,Eastern Cape,56,Robbery with aggravating circumstances,27,Decreased,Robbery with aggravating circumstances:27; Burglary at residential premises:25; Theft of motor vehicle and motorcycle:2; Carjacking:2; Truck hijacking:0,0.089
Vryburg,Dr Ruth Segomotsi Mompati District,North West,56,Burglary at residential premises,46,Increased,Robbery with aggravating circumstances:9; Burglary at residential premises:46; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.089
Scenery Park,Buffalo City District,Eastern Cape,56,Burglary at residential premises,35,Increased,Robbery with aggravating circumstances:16; Burglary at residential premises:35; Theft of motor vehicle and motorcycle:4; Carjacking:1; Truck hijacking:0,0.089
Kameeldrift,Tshwane District,Gauteng,56,Burglary at residential premises,24,Decreased,Robbery with aggravating circumstances:13; Burglary at residential premises:24; Theft of motor vehicle and motorcycle:17; Carjacking:2; Truck hijacking:0,0.089
Ezakheni,Uthukela District,KwaZulu-Natal,56,Burglary at residential premises,29,Decreased,Robbery with aggravating circumstances:26; Burglary at residential premises:29; Theft of motor vehicle and motorcycle:0; Carjacking:1; Truck hijacking:0,0.089
Ekangala,Tshwane District,Gauteng,56,Robbery with aggravating circumstances,30,Decreased,Robbery with aggravating circumstances:30; Burglary at residential premises:19; Theft of motor vehicle and motorcycle:0; Carjacking:7; Truck hijacking:0,0.089
Bellville South,City of Cape Town District,Western Cape,54,Robbery with aggravating circumstances,31,Decreased,Robbery with aggravating circumstances:31; Burglary at residential premises:22; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0851
Kwaggafontein,Nkangala District,Mpumalanga,54,Burglary at residential premises,35,Increased,Robbery with aggravating circumstances:18; Burglary at residential premises:35; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0851
Harding,Ugu District,KwaZulu-Natal,54,Burglary at residential premises,32,Increased,Robbery with aggravating circumstances:19; Burglary at residential premises:32; Theft of motor vehicle and motorcycle:3; Carjacking:0; Truck hijacking:0,0.0851
Mafube,Fezile Dabi District,Free State,54,Burglary at residential premises,37,Increased,Robbery with aggravating circumstances:16; Burglary at residential premises:37; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0851
Vulindlela,Buffalo City District,Eastern Cape,54,Burglary at residential premises,38,Increased,Robbery with aggravating circumstances:11; Burglary at residential premises:38; Theft of motor vehicle and motorcycle:4; Carjacking:1; Truck hijacking:0,0.0851
Paulpietersburg,Zululand District,KwaZulu-Natal,53,Burglary at residential premises,40,Increased,Robbery with aggravating circumstances:11; Burglary at residential premises:40; Theft of motor vehicle and motorcycle:2; Carjacking:0; Truck hijacking:0,0.0832
Dannhauser,Amajuba District,KwaZulu-Natal,53,Burglary at residential premises,40,Decreased,Robbery with aggravating circumstances:13; Burglary at residential premises:40; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0832
Dimbaza,Buffalo City District,Eastern Cape,53,Burglary at residential premises,35,Decreased,Robbery with aggravating circumstances:16; Burglary at residential premises:35; Theft of motor vehicle and motorcycle:2; Carjacking:0; Truck hijacking:0,0.0832
Moeka Vuma,Bojanala District,North West,53,Burglary at residential premises,29,Increased,Robbery with aggravating circumstances:19; Burglary at residential premises:29; Theft of motor vehicle and motorcycle:0; Carjacking:5; Truck hijacking:0,0.0832
Acornhoek,Ehlanzeni District,Mpumalanga,53,Robbery with aggravating circumstances,28,Increased,Robbery with aggravating circumstances:28; Burglary at residential premises:20; Theft of motor vehicle and motorcycle:2; Carjacking:3; Truck hijacking:0,0.0832
Jeffreys Bay,Sarah Baartman District,Eastern Cape,52,Burglary at residential premises,42,Increased,Robbery with aggravating circumstances:9; Burglary at residential premises:42; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0812
Southport,Ugu District,KwaZulu-Natal,52,Burglary at residential premises,47,Increased,Robbery with aggravating circumstances:5; Burglary at residential premises:47; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0812
Mphephu,Vhembe District,Limpopo,52,Burglary at residential premises,29,Decreased,Robbery with aggravating circumstances:23; Burglary at residential premises:29; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0812
Hlogotlou,Sekhukhune District,Limpopo,52,Burglary at residential premises,41,Increased,Robbery with aggravating circumstances:7; Burglary at residential premises:41; Theft of motor vehicle and motorcycle:4; Carjacking:0; Truck hijacking:0,0.0812
Komani,Chris Hani District,Eastern Cape,52,Burglary at residential premises,35,Decreased,Robbery with aggravating circumstances:10; Burglary at residential premises:35; Theft of motor vehicle and motorcycle:6; Carjacking:1; Truck hijacking:0,0.0812
Emzinoni,Gert Sibande District,Mpumalanga,52,Burglary at residential premises,40,Increased,Robbery with aggravating circumstances:11; Burglary at residential premises:40; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0812
Naboomspruit,Waterberg District,Limpopo,51,Burglary at residential premises,35,Increased,Robbery with aggravating circumstances:14; Burglary at residential premises:35; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:1,0.0793
Burgersfort,Sekhukhune District,Limpopo,51,Burglary at residential premises,27,Increased,Robbery with aggravating circumstances:22; Burglary at residential premises:27; Theft of motor vehicle and motorcycle:2; Carjacking:0; Truck hijacking:0,0.0793
Cloetesville,Cape Winelands District,Western Cape,51,Robbery with aggravating circumstances,35,Increased,Robbery with aggravating circumstances:35; Burglary at residential premises:14; Theft of motor vehicle and motorcycle:2; Carjacking:0; Truck hijacking:0,0.0793
Belhar,City of Cape Town District,Western Cape,50,Robbery with aggravating circumstances,30,Decreased,Robbery with aggravating circumstances:30; Burglary at residential premises:11; Theft of motor vehicle and motorcycle:3; Carjacking:6; Truck hijacking:0,0.0774
Grabouw,Overberg District,Western Cape,50,Burglary at residential premises,34,Increased,Robbery with aggravating circumstances:9; Burglary at residential premises:34; Theft of motor vehicle and motorcycle:6; Carjacking:0; Truck hijacking:1,0.0774
Kwamsane,Umkhanyakude District,KwaZulu-Natal,50,Robbery with aggravating circumstances,24,Decreased,Robbery with aggravating circumstances:24; Burglary at residential premises:24; Theft of motor vehicle and motorcycle:1; Carjacking:1; Truck hijacking:0,0.0774
Belfast,Nkangala District,Mpumalanga,50,Burglary at residential premises,27,Decreased,Robbery with aggravating circumstances:18; Burglary at residential premises:27; Theft of motor vehicle and motorcycle:3; Carjacking:0; Truck hijacking:2,0.0774
KwaBhaca,Alfred Nzo District,Eastern Cape,49,Burglary at residential premises,30,Decreased,Robbery with aggravating circumstances:13; Burglary at residential premises:30; Theft of motor vehicle and motorcycle:0; Carjacking:6; Truck hijacking:0,0.0754
Dieprivier,City of Cape Town District,Western Cape,49,Robbery with aggravating circumstances,22,Increased,Robbery with aggravating circumstances:22; Burglary at residential premises:21; Theft of motor vehicle and motorcycle:6; Carjacking:0; Truck hijacking:0,0.0754
Beacon Bay,Buffalo City District,Eastern Cape,49,Burglary at residential premises,44,Decreased,Robbery with aggravating circumstances:3; Burglary at residential premises:44; Theft of motor vehicle and motorcycle:1; Carjacking:1; Truck hijacking:0,0.0754
Thornville,Umgungundlovu District,KwaZulu-Natal,49,Burglary at residential premises,43,Increased,Robbery with aggravating circumstances:6; Burglary at residential premises:43; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0754
Greytown,Umzinyathi District,KwaZulu-Natal,48,Burglary at residential premises,27,Increased,Robbery with aggravating circumstances:16; Burglary at residential premises:27; Theft of motor vehicle and motorcycle:2; Carjacking:3; Truck hijacking:0,0.0735
Mbekweni,Cape Winelands District,Western Cape,48,Robbery with aggravating circumstances,26,Increased,Robbery with aggravating circumstances:26; Burglary at residential premises:20; Theft of motor vehicle and motorcycle:0; Carjacking:2; Truck hijacking:0,0.0735
Aliwal North,Joe Gqabi District,Eastern Cape,48,Burglary at residential premises,44,Increased,Robbery with aggravating circumstances:3; Burglary at residential premises:44; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0735
Tshilwavhusiku,Vhembe District,Limpopo,48,Robbery with aggravating circumstances,27,Increased,Robbery with aggravating circumstances:27; Burglary at residential premises:21; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0735
Umzinto,Ugu District,KwaZulu-Natal,48,Burglary at residential premises,25,Decreased,Robbery with aggravating circumstances:20; Burglary at residential premises:25; Theft of motor vehicle and motorcycle:3; Carjacking:0; Truck hijacking:0,0.0735
Namahadi,Thabo Mofutsanyana District,Free State,48,Burglary at residential premises,35,Increased,Robbery with aggravating circumstances:11; Burglary at residential premises:35; Theft of motor vehicle and motorcycle:1; Carjacking:1; Truck hijacking:0,0.0735
