SUBURB,incident_count,top_claim_type,top_claim_type_count,claim_type_breakdown,peak_month,peak_day_of_week,peak_hour,total_claim_cost,avg_claim_cost,anomalous_claims_excluded_from_cost,freq_normalized,cost_normalized,severity_score
PIERRE VAN RYNEVELD,13,Theft,13,Theft:13,May,Friday,2,350472.29,26959.41,0,0.0761904761904762,0.030162739012737774,0.0532
MOORTEN,9,Theft,8,Theft:8; Hijack:1,September,Friday,13,740208.89,82245.43,0,0.0380952380952381,0.06763845571630235,0.0529
RANDFONTEIN,10,Theft,10,Theft:10,November,Friday,0,628460.55,62846.06,0,0.047619047619047616,0.05689312378716454,0.0523
BRONKHORSTSPRUIT,9,Theft,9,Theft:9,December,Saturday,11,713269.67,79252.19,0,0.0380952380952381,0.06504807396376744,0.0516
FRANKLIN ROOSEVELT PARK,10,Theft,6,Theft:6; Burglary:1; Attempted Theft:1; SOS:1; Armed Robbery:1,November,Tuesday,4,609480.14,60948.01,0,0.047619047619047616,0.05506803353883399,0.0513
SPRINGFIELD,11,Theft,10,Theft:10; Hijack:1,December,Wednesday,7,500213.76,45473.98,0,0.05714285714285714,0.044561358255824815,0.0509
MNANDI AH,10,Theft,9,Theft:9; Hijack:1,July,Friday,2,596771.04,59677.1,0,0.047619047619047616,0.053845970660579105,0.0507
AIRPORT AREA,13,Theft,11,Theft:11; Armed Robbery:2,February,Friday,9,297040.5,22849.27,0,0.0761904761904762,0.02502492381908043,0.0506
SEBENZA,5,Theft,5,Theft:5,November,Saturday,9,1084704.68,216940.94,0,0.0,0.10076397339057434,0.0504
OVERPORT,7,Theft,6,Theft:6; Armed Robbery:1,January,Sunday,18,883612.42,126230.35,0,0.01904761904761905,0.0814276406801244,0.0502
LANGEBERG RIDGE,10,Theft,10,Theft:10,September,Saturday,19,585866.98,58586.7,0,0.047619047619047616,0.05279747415427543,0.0502
ESCOMBE,10,Theft,9,Theft:9; Burglary:1,October,Tuesday,9,584911.37,58491.14,0,0.047619047619047616,0.05270558601844448,0.0502
SALT ROCK,12,Theft,9,Theft:9; Attempted Hijack:2; Armed Robbery:1,March,Monday,4,383245.31,31937.11,0,0.06666666666666667,0.03331407869456457,0.05
BAYSWATER,10,Theft,9,Theft:9; Burglary:1,October,Saturday,13,580241.24,58024.12,0,0.047619047619047616,0.05225652255135204,0.0499
HELDERVUE,12,Theft,12,Theft:12,March,Sunday,0,379385.97,31615.5,0,0.06666666666666667,0.03294297797550781,0.0498
VIERLANDEN,11,Theft,9,Theft:9; Burglary:2,February,Monday,2,475988.67,43271.7,0,0.05714285714285714,0.04223195780957892,0.0497
BRACKENFELL CENTRAL,12,Theft,12,Theft:12,July,Monday,0,357506.47,29792.21,0,0.06666666666666667,0.030839121310222484,0.0488
WELGEMOED,10,Theft,10,Theft:10,June,Friday,11,553846.83,55384.68,0,0.047619047619047616,0.0497185278346184,0.0487
KEW,12,Theft,9,Theft:9; Hijack:3,August,Tuesday,18,352079.11,29339.93,0,0.06666666666666667,0.030317245238515957,0.0485
YELLOW WOOD PARK,11,Theft,11,Theft:11,September,Sunday,13,451517.43,41047.04,0,0.05714285714285714,0.039878888434968125,0.0485
DOBSONVILLE,5,Theft,3,Theft:3; Hijack:1; Attempted Hijack:1,April,Sunday,23,1045748.27,209149.65,0,0.0,0.09701806042025565,0.0485
SUIDEROORD,10,Theft,10,Theft:10,September,Saturday,4,545032.83,54503.28,0,0.047619047619047616,0.048871004232715946,0.0482
WALKERVILLE,11,Theft,11,Theft:11,July,Friday,23,437000.76,39727.34,0,0.05714285714285714,0.03848301590875649,0.0478
ALLEN'S NEK,10,Theft,9,Theft:9; Armed Robbery:1,October,Sunday,7,530220.16,53022.02,0,0.047619047619047616,0.047446669375421587,0.0475
HOWICK,11,Theft,11,Theft:11,August,Saturday,23,430745.61,39158.69,0,0.05714285714285714,0.0378815424281075,0.0475
ALBEMARLE,5,Theft,5,Theft:5,June,Monday,13,1021675.63,204335.13,0,0.0,0.0947033190360826,0.0474
NEWCASTLE,10,Theft,10,Theft:10,March,Friday,7,515365.76,51536.58,0,0.047619047619047616,0.046018321906383705,0.0468
EASTLEIGH,9,Theft,8,Theft:8; Hijack:1,March,Friday,13,604085.66,67120.63,0,0.0380952380952381,0.05454931909363422,0.0463
DISCOVERY,10,Theft,10,Theft:10,September,Wednesday,5,497862.39,49786.24,0,0.047619047619047616,0.04433525869015595,0.046
MALANSHOF,9,Theft,9,Theft:9,September,Wednesday,11,593852.79,65983.64,0,0.0380952380952381,0.053565361884625864,0.0458
MODELPARK,7,Theft,7,Theft:7,December,Tuesday,17,791938.8,113134.11,0,0.01904761904761905,0.07261262404501691,0.0458
BROWNS FARMS,10,Hijack,5,Hijack:5; Theft:3; Armed Robbery:1; Stolen and recovered:1,April,Thursday,14,483085.11,48308.51,0,0.047619047619047616,0.0429143268122434,0.0453
LINKSFIELD,6,Theft,5,Theft:5; Hijack:1,January,Wednesday,18,877020.44,146170.07,0,0.009523809523809525,0.08079377879752069,0.0452
ST JAMES,6,Theft,6,Theft:6,March,Wednesday,23,852477.85,142079.64,0,0.009523809523809525,0.07843384865492763,0.044
EERSTERUST,12,Theft,12,Theft:12,October,Sunday,9,253942.36,21161.86,0,0.06666666666666667,0.02088075648891291,0.0438
UITENHAGE,10,Theft,8,Theft:8; Hijack:1; Armed Robbery:1,December,Wednesday,1,450816.16,45081.62,0,0.047619047619047616,0.03981145674943305,0.0437
CLAYVILLE,6,Theft,5,Theft:5; Hijack:1,May,Wednesday,13,828854.04,138142.34,0,0.009523809523809525,0.07616226520338924,0.0428
GROSVENOR,9,Theft,9,Theft:9,December,Monday,13,531615.95,59068.44,0,0.0380952380952381,0.047580883689955215,0.0428
BOSTON,12,Theft,11,Theft:11; Burglary:1,August,Wednesday,20,233895.52,19491.29,0,0.06666666666666667,0.018953122038769695,0.0428
KANONKOP,11,Theft,11,Theft:11,October,Saturday,14,326705.26,29700.48,0,0.05714285714285714,0.027877384023842402,0.0425
EVERSDAL,11,Theft,11,Theft:11,September,Monday,18,319524.93,29047.72,0,0.05714285714285714,0.027186948450385596,0.0422
BENONI AH,9,Theft,9,Theft:9,March,Thursday,2,514902.91,57211.43,0,0.0380952380952381,0.04597381585928357,0.042
PORT ALFRED,7,Theft,6,Theft:6; Burglary:1,April,Friday,4,709092.86,101298.98,0,0.01904761904761905,0.06464644643305921,0.0418
ORLANDO WEST,5,Theft,4,Theft:4; Hijack:1,December,Saturday,19,905087.72,181017.54,0,0.0,0.08349263087843797,0.0417
KRUGERSDORP WEST,7,Theft,7,Theft:7,November,Wednesday,9,704053.82,100579.12,0,0.01904761904761905,0.06416190986272445,0.0416
PROTEA HEIGHTS,12,Theft,11,Theft:11; Burglary:1,April,Thursday,2,207481.48,17290.12,0,0.06666666666666667,0.016413239769471347,0.0415
MEREDALE,8,Theft,6,Theft:6; Hijack:2,December,Wednesday,0,591625.61,73953.2,0,0.02857142857142857,0.053351203997663625,0.041
